system_type,component,operational_hours,ambient_temperature,component_temperature,vibration,power_output,efficiency,fault_count_30d,maintenance_delay_days,weather_severity_index,degradation_rate,failure,remaining_useful_life_days
Solar,Panel,47984,47,81,0.24,377,89.3,2,4,1,0.23,0,239
Wind,Bearing,33394,25,52,1.79,1205,91.5,1,4,2,0.1,0,340
Wind,Blade,49424,32,66,4.79,1558,66.1,3,5,8,0.66,1,60
Wind,Gearbox,6202,26,62,1.66,1011,94.4,0,4,9,0.22,0,320
Wind,Blade,13923,39,49,2.65,1629,91.3,2,0,6,0.13,0,251
Solar,Panel,49406,38,49,0.48,711,95.9,0,2,2,0.16,0,127
Solar,Panel,37077,20,45,0.4,532,88.8,0,1,5,0.3,0,189
Solar,Inverter,2407,31,73,0.7,440,59.2,6,26,5,0.92,1,9
Solar,Panel,11632,27,49,0.71,395,66.6,5,19,5,0.83,1,75
Wind,Gearbox,13155,32,63,8.9,1497,77.3,5,9,1,0.54,1,6
Wind,Generator,8209,24,69,1.82,976,87.0,1,0,6,0.2,0,225
Wind,Blade,11518,28,67,1.13,819,87.3,2,5,2,0.23,0,274
Solar,Panel,36792,44,69,0.73,558,74.4,8,8,4,0.77,1,64
Wind,Blade,18693,46,71,6.53,953,73.8,10,6,8,0.77,1,42
Wind,Generator,48533,27,67,7.15,1173,61.0,8,27,2,0.59,1,60
Solar,Inverter,25242,46,57,0.58,799,92.8,1,2,2,0.29,0,308
Solar,Panel,35075,47,73,0.4,1152,94.9,1,2,6,0.15,0,138
Wind,Bearing,8934,33,67,2.61,856,91.2,2,3,2,0.16,0,200
Wind,Gearbox,33085,24,53,2.34,1587,94.0,0,0,3,0.22,0,256
Wind,Blade,18706,43,81,6.17,1447,59.0,7,29,10,0.61,1,49
Wind,Bearing,14074,40,56,4.97,1372,70.6,5,23,2,0.62,1,48
Wind,Bearing,35053,36,69,4.0,1016,70.2,6,22,2,0.76,1,43
Solar,Panel,27341,27,61,0.49,1195,94.6,1,5,5,0.29,0,201
Solar,Inverter,40695,43,56,0.26,696,87.7,2,2,9,0.17,0,218
Wind,Blade,13613,39,59,2.47,1037,90.5,0,1,10,0.22,0,316
Solar,Inverter,35377,35,76,0.15,658,87.3,0,3,4,0.25,0,311
Wind,Generator,49266,42,80,3.44,1533,95.5,0,2,9,0.14,0,196
Solar,Panel,45773,28,50,1.2,1126,55.1,3,21,8,0.51,1,70
Solar,Panel,37919,40,55,0.49,440,92.6,2,5,3,0.13,0,330
Wind,Bearing,13289,47,78,2.6,1307,88.9,0,4,2,0.12,0,130
Wind,Gearbox,33282,25,64,5.54,1221,78.5,4,7,5,0.82,1,31
Wind,Bearing,33551,37,75,5.45,1046,58.9,3,18,7,0.63,1,38
Solar,Inverter,39989,23,68,1.14,535,60.9,5,26,5,0.93,1,36
Solar,Inverter,8872,27,69,0.34,920,95.8,0,1,6,0.34,0,158
Solar,Panel,43699,30,60,0.5,912,94.4,0,1,9,0.3,0,193
Wind,Blade,4910,47,87,5.49,1746,66.3,3,15,3,0.57,1,66
Solar,Inverter,13401,28,38,0.57,852,87.2,2,5,4,0.3,0,255
Solar,Panel,43894,37,63,0.3,940,87.7,2,3,1,0.29,0,250
Wind,Generator,22409,28,71,1.85,1499,86.1,1,4,7,0.12,0,144
Solar,Panel,48267,25,51,0.67,1190,80.0,5,30,6,0.81,1,30
Wind,Generator,2693,41,63,3.31,1129,87.4,2,2,4,0.2,0,190
Solar,Panel,10322,47,66,0.23,1071,90.3,1,4,9,0.32,0,273
Wind,Generator,4644,41,85,1.46,1740,92.9,1,4,4,0.17,0,202
Wind,Gearbox,10667,46,76,4.68,1717,63.6,6,11,6,0.63,1,53
Solar,Panel,23717,46,91,1.32,515,72.5,9,7,8,0.75,1,68
Wind,Generator,7345,27,43,1.58,1255,91.7,0,2,7,0.13,0,322
Wind,Blade,10997,32,54,8.74,906,75.1,7,23,4,0.75,1,40
Solar,Inverter,14436,39,55,0.84,978,65.3,10,7,9,0.43,1,68
Solar,Panel,1367,46,82,0.4,696,95.8,2,2,10,0.3,0,247
Wind,Gearbox,23538,37,71,3.16,1783,87.5,0,4,6,0.35,0,214
Solar,Inverter,17548,30,50,0.63,1146,62.2,10,21,7,0.74,1,75
Solar,Inverter,20339,40,76,0.38,341,93.3,0,5,2,0.13,0,178
Wind,Bearing,45322,28,42,2.85,1291,88.1,2,0,4,0.16,0,301
Solar,Panel,39851,33,56,0.13,1191,91.6,2,3,1,0.32,0,227
Solar,Inverter,15775,46,80,1.28,1104,64.5,9,6,10,0.83,1,63
Solar,Inverter,11102,23,43,0.79,374,69.8,10,15,2,0.6,1,35
Solar,Panel,12526,44,88,0.38,937,93.0,2,4,10,0.16,0,285
Solar,Panel,3330,45,81,0.31,915,95.3,0,4,3,0.12,0,269
Wind,Gearbox,7566,44,65,2.88,1098,95.0,0,0,4,0.14,0,275
Wind,Gearbox,23501,43,79,6.01,1537,58.1,5,10,2,0.46,1,69
Solar,Inverter,29281,32,49,0.27,731,89.7,1,1,10,0.17,0,189
Solar,Panel,23152,22,62,0.17,611,95.8,0,0,5,0.22,0,343
Solar,Inverter,1175,38,73,0.23,842,92.3,0,3,10,0.3,0,241
Wind,Gearbox,15295,31,64,1.13,1416,89.9,1,0,10,0.33,0,201
Wind,Gearbox,48763,23,63,8.47,1267,68.2,6,27,2,0.85,1,19
Solar,Inverter,47056,34,49,1.04,1049,60.2,3,25,8,0.49,1,68
Wind,Gearbox,16682,27,42,1.8,1483,94.7,2,1,3,0.19,0,212
Wind,Gearbox,18999,30,41,5.13,1645,60.3,5,21,7,0.74,1,74
Solar,Panel,11178,37,57,0.26,693,91.3,0,1,9,0.25,0,330
Wind,Blade,7548,25,36,2.12,1055,91.5,2,2,3,0.24,0,275
Solar,Inverter,45094,20,61,0.26,1090,90.8,0,5,8,0.29,0,197
Solar,Inverter,26406,46,86,1.19,661,70.7,6,9,10,0.42,1,46
Solar,Panel,14286,45,55,0.27,595,88.5,0,5,5,0.25,0,252
Solar,Panel,20824,41,79,0.23,986,85.6,1,2,1,0.28,0,308
Solar,Inverter,39282,29,73,0.57,1019,91.9,2,5,9,0.34,0,291
Wind,Blade,22769,47,78,7.92,1109,77.8,4,30,3,0.78,1,47
Solar,Inverter,5266,22,63,0.62,396,60.7,5,18,9,0.53,1,37
Wind,Generator,23229,40,69,1.68,1229,92.6,1,5,10,0.32,0,254
Solar,Panel,49465,25,42,0.27,1066,87.4,0,5,9,0.15,0,324
Wind,Generator,16177,45,81,1.2,1578,89.4,2,1,9,0.1,0,303
Wind,Gearbox,42363,38,62,5.62,1306,59.9,10,20,1,0.76,1,77
Wind,Generator,35053,43,75,4.31,1774,68.5,7,21,7,0.52,1,58
Wind,Gearbox,17519,33,62,1.53,1703,95.6,0,3,10,0.35,0,323
Solar,Inverter,20707,30,61,0.28,379,89.4,2,3,1,0.27,0,336
Wind,Bearing,31703,29,42,3.01,1112,91.7,1,2,7,0.31,0,302
Wind,Gearbox,40219,45,90,2.58,1357,90.0,0,2,2,0.35,0,185
Wind,Generator,18771,24,57,2.72,1431,92.7,2,4,2,0.12,0,214
Wind,Generator,47822,22,39,1.09,1275,89.9,0,1,10,0.29,0,347
Solar,Inverter,9245,33,54,0.48,576,88.6,2,1,9,0.23,0,217
Solar,Panel,16504,33,50,0.55,1029,92.8,1,4,7,0.26,0,131
Solar,Panel,6616,44,74,0.45,370,86.9,1,2,5,0.14,0,245
Solar,Panel,9290,35,67,1.48,896,71.8,4,12,6,0.75,1,39
Solar,Panel,20448,38,52,0.86,477,61.8,3,17,9,0.75,1,17
Solar,Panel,16772,43,76,0.64,1001,59.1,5,18,7,0.54,1,54
Solar,Inverter,31642,47,91,1.1,388,61.0,7,14,9,0.94,1,37
Solar,Panel,6133,41,51,1.3,479,76.7,7,27,4,0.84,1,31
Wind,Generator,2383,38,63,2.01,1213,87.8,0,3,7,0.13,0,221
Wind,Generator,37626,21,56,1.11,1046,93.5,2,3,9,0.18,0,264
Solar,Inverter,15638,22,47,0.26,564,89.2,0,0,6,0.25,0,259
Wind,Gearbox,21990,26,55,4.6,1119,66.5,9,16,7,0.68,1,5
Solar,Panel,35180,35,55,1.19,577,79.4,10,9,6,0.67,1,63
Solar,Inverter,47997,38,82,0.39,446,95.4,1,2,8,0.23,0,311
Wind,Gearbox,27905,46,59,4.7,1428,74.0,6,6,7,0.7,1,9
Wind,Blade,48215,40,56,1.77,1166,86.5,2,3,7,0.11,0,153
Solar,Panel,46112,38,63,0.34,832,88.4,0,2,2,0.25,0,334
Solar,Panel,27925,30,58,0.72,1096,71.5,9,26,4,0.5,1,70
Solar,Panel,5744,30,59,0.13,1025,86.0,2,1,7,0.29,0,291
Wind,Generator,8192,47,67,8.91,1403,78.9,10,27,1,0.86,1,16
Solar,Panel,19798,31,45,1.36,449,71.3,7,25,1,0.51,1,78
Solar,Inverter,3650,43,83,0.19,308,88.4,2,5,8,0.32,0,232
Solar,Inverter,16951,31,65,0.52,948,95.0,0,1,2,0.34,0,243
Solar,Panel,7528,29,64,0.59,1072,89.1,2,1,8,0.29,0,258
Wind,Blade,36289,33,73,6.09,1312,61.6,10,26,7,0.85,1,55
Wind,Gearbox,49782,38,71,2.69,1575,89.6,2,5,10,0.16,0,247
Solar,Inverter,26111,43,87,0.2,690,89.7,0,3,10,0.23,0,156
Solar,Panel,43887,35,73,0.24,739,93.9,1,2,2,0.31,0,343
Wind,Bearing,9917,36,74,6.67,1027,75.2,6,16,4,0.42,1,57
Solar,Inverter,13543,31,65,0.53,483,92.9,1,1,4,0.23,0,126
Wind,Generator,6511,42,73,1.29,1797,91.4,2,5,10,0.27,0,228
Wind,Generator,8037,33,43,1.51,1560,93.7,0,1,10,0.35,0,215
Solar,Panel,19489,28,46,0.36,456,94.7,2,5,1,0.3,0,183
Wind,Bearing,47924,20,48,3.36,1800,88.0,2,2,5,0.26,0,322
Wind,Generator,9176,30,56,3.03,849,91.7,0,1,4,0.26,0,234
Solar,Panel,40050,43,53,1.49,930,68.6,6,30,2,0.72,1,18
Wind,Bearing,12751,43,71,5.59,1395,69.3,3,20,6,0.52,1,68
Solar,Panel,35928,26,61,0.79,1009,77.1,9,20,2,0.78,1,7
Wind,Blade,21928,38,75,2.6,1283,91.2,0,5,1,0.19,0,187
Wind,Bearing,31415,35,49,7.12,805,62.5,9,12,8,0.93,1,68
Wind,Gearbox,12241,22,35,5.53,1794,78.6,3,27,2,0.65,1,37
Wind,Bearing,8308,41,56,2.22,1507,90.6,2,4,6,0.11,0,259
Wind,Generator,24101,30,62,1.35,1556,85.7,1,0,3,0.3,0,276
Solar,Panel,35475,42,76,1.44,972,66.7,7,26,8,0.57,1,56
Wind,Blade,25954,34,68,7.53,1038,75.2,6,25,6,0.51,1,64
Solar,Inverter,7930,27,57,0.74,980,64.7,4,23,6,0.83,1,68
Solar,Panel,11059,32,72,0.13,346,88.3,1,4,9,0.33,0,347
Solar,Panel,20676,42,58,1.38,321,76.3,6,22,1,0.66,1,17
Solar,Panel,19576,24,59,1.47,738,71.7,7,9,6,0.94,1,48
Solar,Inverter,43082,25,67,0.37,826,90.1,2,0,6,0.11,0,301
Solar,Inverter,30673,31,47,0.36,691,88.2,0,1,7,0.16,0,251
Solar,Inverter,22792,34,75,0.51,1200,91.4,1,5,1,0.14,0,348
Solar,Panel,47914,46,56,1.21,531,68.4,10,5,9,0.49,1,61
Solar,Panel,26578,40,53,0.36,824,88.3,1,2,7,0.22,0,330
Solar,Inverter,16050,23,53,1.07,669,77.2,8,24,5,0.76,1,76
Solar,Inverter,5244,42,69,0.19,843,95.7,1,2,1,0.12,0,202
Wind,Gearbox,11054,44,65,4.23,1430,67.3,9,28,1,0.47,1,48
Solar,Inverter,23970,27,42,0.47,402,86.3,1,5,7,0.21,0,270
Solar,Inverter,29464,36,78,1.44,804,58.5,9,9,4,0.76,1,38
Wind,Generator,18333,28,70,1.51,1347,92.9,0,1,9,0.31,0,301
Solar,Inverter,26582,40,72,1.4,800,74.0,4,9,3,0.79,1,65
Solar,Inverter,46430,42,80,0.14,725,88.3,0,3,1,0.15,0,343
Wind,Bearing,14146,23,55,7.61,1107,61.0,3,20,1,0.95,1,50
Wind,Blade,38813,31,51,5.94,1431,58.2,5,27,2,0.94,1,36
Wind,Blade,36020,36,59,1.77,1754,86.8,0,1,10,0.2,0,141
Wind,Generator,45244,26,64,5.3,1798,74.1,9,16,4,0.74,1,35
Wind,Bearing,23366,47,63,2.87,1759,86.5,1,3,3,0.21,0,120
Wind,Bearing,36981,22,45,1.76,1309,89.7,0,4,10,0.14,0,341
Solar,Inverter,14154,22,60,0.48,556,89.2,1,0,2,0.2,0,242
Solar,Panel,36095,29,51,0.15,309,91.1,1,0,9,0.27,0,201
Solar,Panel,48613,33,62,0.49,478,87.1,2,3,6,0.22,0,308
Solar,Panel,32136,23,56,0.3,1160,87.9,2,3,1,0.17,0,281
Solar,Panel,26140,25,59,0.36,1063,94.3,0,1,9,0.28,0,281
Wind,Gearbox,30115,28,61,2.53,1323,89.5,0,0,9,0.25,0,283
Wind,Generator,10734,34,72,2.68,1655,94.4,2,2,5,0.17,0,214
Solar,Inverter,19735,42,59,0.13,1157,91.3,1,2,9,0.19,0,258
Solar,Inverter,25952,29,56,0.82,956,76.6,10,11,3,0.82,1,45
Solar,Panel,22641,46,69,1.15,954,57.3,9,22,3,0.83,1,65
Wind,Gearbox,13528,43,65,7.67,1461,64.5,8,28,9,0.47,1,78
Solar,Panel,49489,42,57,0.27,613,91.7,2,3,3,0.29,0,152
Solar,Panel,21756,30,61,0.38,1174,87.2,2,4,7,0.12,0,270
Wind,Generator,25272,33,46,2.58,1122,94.1,2,2,5,0.14,0,144
Wind,Generator,33848,25,39,5.57,1668,70.3,7,26,3,0.54,1,56
Solar,Inverter,33307,30,72,1.14,641,76.0,3,14,10,0.67,1,12
Wind,Blade,36856,24,50,2.81,812,90.0,0,3,9,0.2,0,203
Solar,Panel,10722,28,55,1.39,356,71.9,4,6,4,0.68,1,53
Solar,Panel,14141,20,41,0.6,448,92.5,2,4,8,0.25,0,268
Solar,Panel,39452,33,77,0.54,1146,94.6,2,1,10,0.29,0,345
Wind,Blade,19949,31,74,7.72,1538,77.6,3,10,1,0.51,1,33
Wind,Generator,36518,44,89,2.23,1334,95.8,0,1,9,0.27,0,120
Wind,Bearing,27897,20,30,2.19,1519,88.3,0,1,3,0.2,0,211
Solar,Inverter,29926,39,52,0.32,860,87.8,2,4,6,0.17,0,129
Wind,Bearing,27861,31,57,1.74,1136,90.7,1,2,1,0.27,0,218
Solar,Panel,20947,33,54,0.32,1099,93.3,1,3,7,0.14,0,255
Solar,Panel,31467,44,60,0.25,605,89.9,1,2,2,0.17,0,219
Wind,Generator,49015,24,68,5.72,1391,67.6,10,13,5,0.62,1,75
Wind,Gearbox,28016,43,78,1.49,1227,88.2,1,5,1,0.35,0,343
Solar,Panel,29296,43,65,1.47,1142,77.3,3,24,1,0.94,1,6
Solar,Panel,40920,25,56,1.14,666,75.5,7,26,10,0.69,1,29
Solar,Panel,42752,45,90,0.41,761,89.6,2,3,7,0.3,0,326
Wind,Gearbox,30843,32,76,7.12,832,61.2,10,18,7,0.92,1,5
Solar,Inverter,20644,34,59,0.45,769,91.7,1,3,2,0.23,0,207
Wind,Gearbox,43002,45,70,1.61,807,92.0,0,2,4,0.26,0,239
Wind,Gearbox,10965,31,42,6.82,1015,55.1,10,11,10,0.56,1,57
Wind,Blade,45523,32,64,4.18,1299,57.0,10,8,10,0.68,1,13
Wind,Blade,28139,28,73,5.6,1358,73.1,5,9,7,0.61,1,57
Wind,Blade,22289,42,54,1.39,1580,95.5,1,5,6,0.26,0,344
Solar,Inverter,4476,20,63,0.8,447,62.4,8,7,9,0.73,1,33
Wind,Generator,28170,38,78,1.86,1500,93.4,0,4,9,0.14,0,281
Solar,Inverter,40774,26,58,1.05,895,58.6,8,27,6,0.65,1,11
Wind,Blade,31455,42,68,6.63,1572,64.9,7,13,7,0.55,1,39
Solar,Panel,39317,30,50,0.31,435,87.6,0,1,2,0.17,0,126
Solar,Inverter,22994,44,62,0.21,864,86.0,2,4,3,0.33,0,348
Wind,Generator,8848,28,40,6.12,836,60.0,10,26,1,0.67,1,39
Wind,Blade,45143,35,65,5.31,976,61.6,6,10,6,0.74,1,30
Solar,Inverter,49953,38,62,0.27,743,88.4,1,0,4,0.25,0,257
Solar,Panel,17906,26,54,0.54,1086,92.9,2,1,2,0.33,0,327
Wind,Blade,32717,24,35,1.39,978,85.2,2,5,3,0.1,0,327
Solar,Panel,27265,32,42,0.12,747,91.4,1,0,6,0.13,0,169
Wind,Gearbox,20760,47,66,1.62,950,88.1,2,4,8,0.15,0,293
Solar,Panel,15780,34,56,0.14,445,91.4,0,3,6,0.33,0,236
Solar,Panel,14999,28,54,0.3,690,91.2,0,1,8,0.26,0,174
Wind,Generator,3830,27,47,7.47,1761,67.5,5,28,4,0.75,1,74
Solar,Panel,25157,28,67,1.24,518,63.5,8,9,8,0.54,1,19
Wind,Gearbox,5988,42,64,2.26,979,91.8,1,4,9,0.33,0,189
Solar,Panel,44115,44,80,0.21,887,93.1,2,5,7,0.16,0,309
Wind,Bearing,10802,24,67,1.05,1646,87.5,1,2,8,0.17,0,245
Wind,Generator,48345,32,74,2.24,1181,91.4,2,2,9,0.23,0,295
Solar,Panel,23864,33,56,0.56,372,89.4,1,3,1,0.13,0,160
Solar,Panel,6560,38,73,0.18,875,85.5,2,3,8,0.32,0,135
Wind,Gearbox,44632,38,48,5.18,1270,70.8,6,11,4,0.83,1,17
Wind,Generator,36701,21,39,3.11,1624,89.4,0,1,6,0.21,0,338
Solar,Inverter,28415,45,87,0.47,1064,89.6,2,1,10,0.23,0,346
Wind,Generator,41902,26,52,7.22,892,77.3,6,5,10,0.83,1,61
Solar,Inverter,12525,22,40,0.3,481,94.0,1,3,5,0.19,0,127
Solar,Panel,47353,38,61,0.32,722,85.9,1,4,7,0.33,0,300
Wind,Gearbox,2631,45,59,3.32,1590,93.2,0,3,3,0.29,0,241
Wind,Generator,32779,21,53,4.03,1569,77.1,10,25,5,0.72,1,50
Solar,Inverter,16643,32,70,1.4,755,79.7,3,17,9,0.61,1,45
Wind,Bearing,45466,43,54,2.22,1503,95.8,0,4,9,0.29,0,130
Wind,Blade,43585,45,61,5.89,1752,71.6,7,18,6,0.45,1,36
Wind,Blade,34391,44,80,1.99,1507,94.0,2,4,1,0.21,0,319
Wind,Generator,7310,38,80,6.13,1758,64.2,8,11,6,0.64,1,54
Wind,Blade,9757,35,56,2.01,1340,95.7,2,5,3,0.21,0,164
Wind,Blade,17636,24,60,4.78,1523,75.4,8,22,6,0.75,1,16
Solar,Inverter,49725,31,55,0.44,858,86.6,0,1,1,0.33,0,138
Solar,Panel,2394,25,61,0.57,1061,90.5,0,3,3,0.26,0,223
Wind,Gearbox,29330,41,71,1.63,1518,94.1,2,3,5,0.1,0,249
Solar,Inverter,33474,43,55,0.79,816,65.3,8,9,8,0.66,1,30
Solar,Panel,23895,42,67,0.8,565,71.3,5,25,9,0.62,1,79
Wind,Generator,13813,39,60,1.86,1546,92.3,0,2,2,0.25,0,301
Wind,Generator,37650,44,63,2.13,1233,90.9,0,1,6,0.21,0,270
Solar,Inverter,33636,34,44,0.36,685,91.1,1,4,6,0.19,0,306
Wind,Bearing,46098,35,58,2.95,1429,92.6,2,4,8,0.11,0,148
Solar,Panel,26633,21,42,0.34,582,95.0,2,4,4,0.18,0,252
Solar,Inverter,44334,32,42,1.26,939,76.8,5,30,4,0.61,1,9
Wind,Gearbox,36974,25,47,6.22,1014,78.2,10,7,3,0.92,1,67
Solar,Panel,27300,40,84,0.5,441,89.3,1,1,7,0.34,0,341
Wind,Bearing,41239,45,60,1.63,1201,87.0,0,0,3,0.2,0,221
Solar,Inverter,31669,24,49,0.31,770,93.2,0,0,5,0.32,0,182
Solar,Panel,14073,44,60,0.95,644,58.8,3,10,9,0.52,1,55
Wind,Gearbox,15135,43,78,1.73,1632,87.4,1,0,8,0.1,0,210
Solar,Inverter,41684,29,41,1.21,860,56.4,6,8,8,0.57,1,76
Solar,Inverter,26688,29,42,0.42,661,89.5,0,3,9,0.32,0,290
Solar,Panel,46839,39,58,1.41,903,64.6,5,16,6,0.89,1,43
Solar,Panel,25002,22,43,0.14,325,87.3,1,5,10,0.17,0,241
Wind,Generator,27805,35,51,1.51,1283,86.3,0,5,7,0.24,0,281
Solar,Inverter,15880,24,68,1.47,797,63.7,9,15,8,0.57,1,62
Wind,Generator,16119,30,62,1.62,1553,90.3,2,0,2,0.28,0,295
Wind,Bearing,3927,32,75,3.04,1747,85.7,1,5,7,0.34,0,316
Solar,Panel,49731,30,46,1.46,899,63.0,8,6,5,0.75,1,28
Solar,Inverter,39982,37,81,0.17,446,95.7,2,5,4,0.32,0,298
Solar,Inverter,22475,42,83,0.76,341,73.7,8,7,1,0.4,1,8
Solar,Inverter,7703,24,61,0.78,848,55.3,5,12,8,0.78,1,44
Wind,Bearing,44226,20,55,1.54,972,93.8,0,5,8,0.16,0,242
Solar,Inverter,24436,44,63,0.35,956,91.7,0,3,8,0.29,0,164
Wind,Gearbox,43099,38,62,2.97,811,92.7,0,5,6,0.2,0,315
Wind,Blade,24242,24,60,7.31,1313,67.3,5,10,2,0.77,1,44
Wind,Gearbox,5445,44,58,6.59,1220,61.8,4,18,10,0.67,1,11
Solar,Inverter,16102,27,57,0.17,792,93.3,2,5,1,0.22,0,180
Wind,Bearing,34186,36,75,5.23,1776,69.5,9,10,9,0.74,1,20
Solar,Inverter,40507,33,74,0.45,1122,90.5,0,4,3,0.29,0,133
Solar,Panel,32981,31,62,1.03,1125,74.1,3,21,2,0.55,1,80
Wind,Generator,5880,27,54,2.41,1642,91.0,2,5,3,0.17,0,335
Wind,Blade,4504,29,41,1.65,1347,90.7,0,4,7,0.34,0,145
Wind,Blade,39428,42,52,4.48,1647,77.4,3,23,7,0.85,1,78
Wind,Bearing,7120,37,72,2.76,1037,89.6,2,3,10,0.31,0,307
Solar,Panel,17843,28,61,0.23,722,92.8,1,4,5,0.24,0,267
Wind,Generator,24535,43,65,2.98,1155,94.0,1,0,9,0.25,0,271
Solar,Panel,14784,29,53,0.11,746,91.4,0,1,3,0.2,0,208
Solar,Panel,2183,22,49,1.08,670,63.8,4,20,8,0.67,1,46
Solar,Inverter,29221,29,47,0.62,345,79.0,9,14,2,0.68,1,62
Solar,Inverter,41538,40,66,0.98,772,79.1,8,12,10,0.87,1,7
Solar,Inverter,24751,26,53,0.6,784,91.6,1,2,10,0.15,0,323
Wind,Blade,33169,30,42,4.77,1796,61.1,10,16,9,0.89,1,5
Wind,Bearing,49292,42,67,1.3,1389,94.9,0,1,3,0.31,0,195
Wind,Blade,46417,27,44,3.26,1023,93.6,2,0,6,0.11,0,165
Solar,Inverter,19989,22,36,0.44,1014,92.9,1,0,9,0.26,0,305
Solar,Inverter,5416,35,60,0.33,322,90.9,0,4,8,0.28,0,120
Solar,Panel,15168,43,87,0.2,1060,90.3,1,5,10,0.26,0,278
Solar,Inverter,19123,40,61,0.2,890,85.6,1,1,4,0.34,0,227
Solar,Inverter,33639,45,55,0.43,827,95.1,2,0,2,0.23,0,290
Solar,Panel,24847,31,45,0.58,875,90.2,0,5,7,0.24,0,182
Wind,Generator,38306,24,39,2.13,1219,92.2,1,2,2,0.18,0,296
Solar,Inverter,41382,39,70,0.79,1006,73.4,9,17,5,0.43,1,18
Solar,Inverter,4721,24,61,0.48,676,90.4,2,1,5,0.24,0,132
Solar,Inverter,36432,32,50,0.13,978,87.4,1,1,1,0.33,0,314
Wind,Bearing,36952,29,56,7.73,1401,68.5,10,16,7,0.52,1,32
Solar,Inverter,35395,40,55,0.35,802,92.0,2,2,3,0.24,0,153
Solar,Panel,32722,41,51,0.57,946,90.9,1,3,6,0.27,0,171
Solar,Inverter,6929,24,69,0.16,660,94.8,1,0,3,0.22,0,157
Solar,Panel,46336,36,64,0.42,477,92.9,0,1,2,0.32,0,321
Solar,Inverter,10323,27,46,0.46,583,87.9,0,4,8,0.18,0,234
Solar,Inverter,8385,45,63,0.28,433,86.1,2,4,9,0.12,0,283
Solar,Panel,29076,40,68,1.1,831,58.2,5,25,6,0.43,1,14
Solar,Inverter,47558,34,47,0.11,967,86.4,1,2,1,0.18,0,191
Solar,Panel,23928,31,68,1.04,853,77.0,10,29,9,0.75,1,74
Solar,Panel,25218,33,61,1.45,708,72.7,4,9,2,0.7,1,70
Solar,Inverter,47431,22,39,0.46,929,91.8,1,3,4,0.18,0,326
Wind,Bearing,13591,38,59,6.65,1398,63.4,4,28,1,0.93,1,55
Wind,Blade,13971,39,79,1.07,1703,92.0,2,3,2,0.11,0,254
Solar,Panel,31149,41,54,0.32,728,93.4,1,3,5,0.28,0,315
